metric_id,study_id,artifact_id,subset,method,budget,contrast,metric,value,ci_low,ci_high,level,interval_method,n_seeds,seed_ids,primary,status,seed_id_role,metric_unit,aggregation_unit,n_questions,n_videos,bootstrap_seed,source_field,metric_role,protocol_validity,n_sources,n_frames_per_video,replicate_kind,replicate_count,timing_protocol
gaze_r2e_k16_all,spatial_gaze,gaze_r2e_fixed,all,human_gaze_K16,16,,question_micro_accuracy,0.5031094527363185,0.4941252200513011,0.5120936854213358,0.90,Student-t across seeds,6,440826;440827;440828;440829;440830;440831,true,final,base_seed,,,,,,,,,,,,,
gaze_r2e_k24_all,spatial_gaze,gaze_r2e_fixed,all,human_gaze_K24,24,,question_micro_accuracy,0.47885572139303484,0.45504026625286276,0.5026711765332069,0.90,Student-t across seeds,3,440826;440827;440828,true,final,base_seed,,,,,,,,,,,,,
gaze_r2e_k32_all,spatial_gaze,gaze_r2e_fixed,all,human_gaze_K32,32,,question_micro_accuracy,0.49129353233830847,0.471072398442411,0.5115146662342059,0.90,Student-t across seeds,3,440826;440827;440828,true,final,base_seed,,,,,,,,,,,,,
gaze_r2e_k16_matched,spatial_gaze,gaze_r2e_fixed,matched,human_gaze_K16,16,,question_micro_accuracy,0.4975124378109453,0.47729130391504787,0.5177335717068428,0.90,Student-t across seeds,3,440826;440827;440828,true,final,base_seed,,,,,,,,,,,,,
gaze_r2e_k24_matched,spatial_gaze,gaze_r2e_fixed,matched,human_gaze_K24,24,,question_micro_accuracy,0.47885572139303484,0.45504026625286276,0.5026711765332069,0.90,Student-t across seeds,3,440826;440827;440828,true,final,base_seed,,,,,,,,,,,,,
gaze_r2e_k32_matched,spatial_gaze,gaze_r2e_fixed,matched,human_gaze_K32,32,,question_micro_accuracy,0.49129353233830847,0.471072398442411,0.5115146662342059,0.90,Student-t across seeds,3,440826;440827;440828,true,final,base_seed,,,,,,,,,,,,,
gaze_r2e_diff_16_24,spatial_gaze,gaze_r2e_fixed,matched,,,K16-K24,question_micro_difference,0.018656716417910446,-0.019444444444444445,0.05368289637952559,0.90,video-cluster bootstrap 10000 draws,3,440826;440827;440828,true,final,base_seed,,,,,,,,,,,,,
gaze_r2e_diff_16_32,spatial_gaze,gaze_r2e_fixed,matched,,,K16-K32,question_micro_difference,0.006218905472636816,-0.05830087394847959,0.06723911887298858,0.90,video-cluster bootstrap 10000 draws,3,440826;440827;440828,true,final,base_seed,,,,,,,,,,,,,
gaze_r2e_diff_24_32,spatial_gaze,gaze_r2e_fixed,matched,,,K24-K32,question_micro_difference,-0.012437810945273632,-0.06060606060606061,0.030012120192427508,0.90,video-cluster bootstrap 10000 draws,3,440826;440827;440828,true,final,base_seed,,,,,,,,,,,,,
gaze_r1_learned,spatial_gaze,gaze_r1_domain,protected_test,learned_K16,16,,macro_source_k16_coverage,0.3710703592802914,,,,population SD 0.0013745; range 0.0033148,3,240826;240827;240828,true,final_descriptive,continuation_training_seed,,,,,,,,,,,,,
gaze_r1_center,spatial_gaze,gaze_r1_domain,protected_test,center16,16,,macro_source_k16_coverage,0.3616306248294483,,,,deterministic,,not_applicable,true,final_descriptive,not_applicable_deterministic,,,,,,,,,,,,,
gaze_r1_prior,spatial_gaze,gaze_r1_domain,protected_test,train_only_prior16,16,,macro_source_k16_coverage,0.43204338771085443,,,,deterministic,,not_applicable,true,final_descriptive,not_applicable_deterministic,,,,,,,,,,,,,
gaze_r2d_mean_k,spatial_gaze,gaze_r2d_variable,validation,calibrated_variable,,,macro_source_mean_fine_actions,15.155946417959834,,,,mean across seeds; equal-weight source means within seed,3,440826;440827;440828,false,historical_curated,base_seed,,,,,,,,,,,,,
gaze_r2d_pooled_mean_k,spatial_gaze,gaze_r2d_variable,validation,calibrated_variable,,,pooled_frame_mean_fine_actions,14.571282068888346,,,,mean across seeds; all validation frames pooled within seed,3,440826;440827;440828,false,historical_curated,base_seed,,,,,,,,,,,,,
gaze_r2d_variable,spatial_gaze,gaze_r2d_variable,validation,calibrated_variable,,,macro_source_coverage,0.3787515245426074,,,,mean across seeds,3,440826;440827;440828,true,historical_curated,base_seed,,,,,,,,,,,,,
gaze_r2d_forced16,spatial_gaze,gaze_r2d_variable,validation,same_endpoints_forced_K16,16,,macro_source_coverage,0.417116669753735,,,,mean across seeds,3,440826;440827;440828,true,historical_curated,base_seed,,,,,,,,,,,,,
gaze_r2d_diff,spatial_gaze,gaze_r2d_variable,validation,variable_minus_forced16,,variable-forced16,macro_source_difference,-0.038365145211127605,-0.04210092140780236,-0.03462936901445285,0.95,descriptive t across seeds,3,440826;440827;440828,true,historical_curated,base_seed,,,,,,,,,,,,,
